#CHR	FIRST_POS	LAST_POS	COPY_NUMBER
chr1_allele1	200000000	240000000	2
chr1_allele2	200000000	240000000	1
chr2_allele1	20000000	25010000	3
chr2_allele2	20000000	25010000	1
chr2_allele1	40000000	45000000	0
chr2_allele2	40000000	45000000	1
chr3_allele1	50000000	100000000	7
chr3_allele2	50000000	100000000	1
chr4_allele1	40000000	80000000	0
chr4_allele2	40000000	80000000	1
chr10_allele1	30000000	45000000	2
chr10_allele2	30000000	45000000	0
chr20_allele1	3000000	45000000	3
chr20_allele2	3000000	45000000	0
chr15_allele1	20000000	40000000	6
chr15_allele2	20000000	40000000	1
chr17_allele1	10000000	60000000	4
chr17_allele2	10000000	60000000	1
chr8_allele1	10000000	145000000	2
chr8_allele2	10000000	145000000	1
chr1_allele1	135000000	185000000	2
chr1_allele2	135000000	185000000	3
chr2_allele1	80000000	130000000	2
chr2_allele2	80000000	130000000	2
chr5_allele1	30000000	75000000	2
chr5_allele2	30000000	75000000	4
chr6_allele1	50000000	90000000	3
chr6_allele2	50000000	90000000	3
chr7_allele1	90000000	130000000	2
chr7_allele2	90000000	130000000	5
chr12_allele1	25000000	65000000	3
chr12_allele2	25000000	65000000	4
chr11_allele1	80000000	130000000	4
chr11_allele2	80000000	130000000	0
chr12_allele1	85000000	120000000	0
chr12_allele2	85000000	120000000	5
chr13_allele1	25000000	65000000	0
chr13_allele2	25000000	65000000	6
chr14_allele1	30000000	45000000	7
chr14_allele2	30000000	45000000	0
chr15_allele1	50000000	90000000	8
chr15_allele2	50000000	90000000	0
